Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Curacao,CUW,,132882681.6,135195530.7,117022346.4,121039106.1,130206703.9,127391061.5,141776536.3,140578526.3,130951692.7,117872715.4
Cayman Islands,CYM,,,,,,,371197417.7,395035319.9,449068951.1,501070778.2,
Cyprus,CYP,951993213.5,895418596.9,759751776.4,742261795.1,790206517.4,634530436.7,689854494.2,772338202.6,862266675.4,834505571.4,844976495.5
Czech Republic,CZE,1496982253,1522137850,1334625944,1079198620,1523333419,1376392339,1658604748,2055510448,2786200090,3447070354,3264848988
Germany,DEU,14682106066,16125581286,15581428609,19976705775,20084390152,18248805576,19348107340,21699115805,24351171161,23935924317,22024495026
Djibouti,DJI,11619335.93,12857231.28,12407087.51,,,,,,,,1688039.117
Dominica,DMA,8016.296296,8038.888889,1616552.222,1701588.889,24823246.3,24812587.59,21161683.97,20317892.46,10301319.72,,
Denmark,DNK,2833342704,3148221908,2979397707,3058995226,3171598140,2781262009,2914430190,3140591942,3392801094,3363422949,3386838622
Dominican Republic,DOM,534000000,565500000,565200000,531100000,574800000,585000000,617100000,651400000,622700000,741100000,627000000
Algeria,DZA,27971375.75,30901604.94,44242618.92,38715810.2,295922112.1,72128990.59,76633496.32,214378056.7,87006383.21,81545364.58,149237303.7
East Asia & Pacific (excluding high income),EAP,17027968467,18625170251,19028170060,20017979401,24187555898,26476934563,27269020293,36853021737,39124597230,41991865281,40863017400
Early-demographic dividend,EAR,49519826652,51845551139,56123182482,67032593014,67006442501,69020821790,68105649563,69175456219,68364067868,62425589120,61495759829
East Asia & Pacific,EAS,37411078631,41861490941,42303257109,42049265205,48358577851,48753797578,53072833102,65640957157,70061893450,71720079230,66724932623
Europe & Central Asia (excluding high income),ECA,28203966287,34035281738,41046028313,48240742971,44266143888,28504481107,23422056273,28344169942,30860616527,31082190920,25177329670
Europe & Central Asia,ECS,1.43E+11,1.63E+11,1.64E+11,1.81E+11,1.82E+11,1.56E+11,1.54E+11,1.70E+11,1.86E+11,1.88E+11,1.77E+11
Ecuador,ECU,135971152.5,148375073.5,154049108.5,167268211.1,195915063.6,291533662.2,302374307.7,371469504.8,467445307.5,654668980.3,518019671.5
"Egypt, Arab Rep.",EGY,304800000,292900000,292700000,354900000,351400000,622700000,352200000,270800000,514500000,471900000,444900000
Euro area,EMU,76508849668,83187687098,76626497077,83279403230,84265277899,77379854741,79527735858,86477652552,95699126377,96269753172,93802649138
Eritrea,ERI,,,,,,,,,,,
Spain,ESP,470665747.3,496948975.8,407460971.8,353454937.7,402801005.3,368030578.6,304127565.4,362587684.8,443326436.4,459070923.3,350535217.8
Estonia,EST,123279637.1,113541463.5,113164925,100292645.1,113887035.7,93682192.44,121868052.9,150958274.9,234337485.8,249205400.5,203889939.9
Ethiopia,ETH,46967151.95,21832481.87,19882145.4,23077322.29,14253223.3,14437634.41,29869539.26,12461832.15,8689449.308,19080067.1,17079651.63
European Union,EUU,84696534479,92173672222,85199140214,92392532134,94808227801,87290885301,91102020235,1.01E+11,1.13E+11,1.15E+11,1.11E+11
Fragile and conflict affected situations,FCS,11314850484,10863518852,13543575002,15926599851,12374160822,11578197360,10612683646,9718976233,10694877316,9132762896,3370633313
Finland,FIN,720832415.9,445209978.5,774448556.7,1084976107,1015369008,927659181.5,882181100,997504149.7,1011154023,958403302,977098942.4
Fiji,FJI,9631117.096,10533776.77,8225967.421,8469046.511,10660484.37,9666037.82,13015472.77,14917363.23,15730151.27,11256018.11,7445206.26
France,FRA,12026060392,12857522696,12561160243,13424774110,13729849894,12791549841,13284455662,13798960223,15022558190,15059012742,14632716778
Faroe Islands,FRO,31029077.16,34404214.83,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,16560900,17020700,17913900,16452600,17330800,,,,,,
Gabon,GAB,159042306.8,239379342.2,355744067.7,250455409.7,280695394,121711150.5,,,,,
United Kingdom,GBR,9565109385,9931101010,10077435197,10528125662,11571027572,10705712114,10190899107,9803750898,10410129090,10360300797,9335700582
Georgia,GEO,55132165.64,76800463.59,86732443.05,87714487.75,86131110.08,95862423.06,100492400.1,122154261.9,151149586.7,169883742.1,76894985.62
Ghana,GHA,0,,7990000,4840000,8942031.672,2607106387,1548909688,1112210000,956248076.2,667262506.3,727201189.6
Gibraltar,GIB,,,,,,,,,,,
Guinea,GIN,40980000,38810000,50720000,80680000,35857981.15,25699500.51,33870677.12,27780000,22890000,82690000,22620000
"Gambia, The",GMB,58119088.2,91362708.72,66136002.3,69585194.36,25235850.13,20477127.06,17797429.19,18174365.27,19006746.07,18925942.95,18308188.55
Guinea-Bissau,GNB,19650119.02,29957650.23,24964980.51,34545175.91,36523915.58,38406676.67,23574000,48288166.84,56715457.49,98051579.01,
Equatorial Guinea,GNQ,,,,,,,,,,,
Greece,GRC,1931819013,1941807064,1437386209,1291061265,1424499197,1870201142,1800318876,2083354727,2287128999,2666198439,2725263244
Grenada,GRD,1511708.148,1554409.63,1600109.259,1665146.296,43759149.7,47650085.51,47840931.26,52198995.46,55390388.75,,
Greenland,GRL,,,,,,,,,,,
Guatemala,GTM,20762470,26790600,27905200,27745530,26125590,22906100,18786480,18333870,18910290,18007690,18565460
Guam,GUM,,,,,,,,,,,
Guyana,GUY,128119878.6,138270000,183688021.2,122837355.3,122229530.3,131992083.3,137963412.6,139331508.2,142391133.7,149060525.5,
High income,HIC,2.44E+11,2.76E+11,2.76E+11,2.98E+11,3.11E+11,3.02E+11,3.10E+11,3.25E+11,3.42E+11,3.43E+11,3.24E+11
"Hong Kong SAR, China",HKG,482936786.2,554344973.7,607118505.2,656398055.2,711498699.1,758670560.6,816526002.6,875473343.8,933973045.8,997216059.3,949158030.8
Honduras,HND,27285337.55,32975283.77,36431743.42,40938147.39,42100000,41100000,41100000,261148690.3,288137023,329933337.2,291710443.5
Heavily indebted poor countries (HIPC),HPC,4021665490,4630868088,4881468060,5515177317,5095291249,7541039280,6424826843,6334015950,7217654253,6128581501,2555151434
Croatia,HRV,332843888.3,363441737.2,247440156.4,267400672.6,443471012.2,413775663.9,425069349.5,467101205.3,532978747.5,531082871.9,570080839.3
Haiti,HTI,166978561.7,240237393.5,231924077.2,247694320.7,248597074.4,247297661.3,266344547.1,297710340.4,309385081.7,284118893,
Hungary,HUN,859892487.2,913931692.6,863097189.4,858480889.2,868845038.2,676851846.1,782106347.7,863352790.2,1109181126,1406239785,1250109309
IBRD only,IBD,64291738238,71386806163,83640447288,95580568103,94988795225,78110675655,75697653949,95661426417,1.03E+11,1.05E+11,90566585333
IDA & IBRD total,IBT,71035163597,78762072242,91381292835,1.05E+11,1.04E+11,89822250076,85738202864,1.05E+11,1.13E+11,1.14E+11,95483122664
IDA total,IDA,6743425359,7375266079,7740845546,9006288612,9008378611,11711574422,10040548915,9546826221,10344029951,8991203282,4916537330
IDA blend,IDB,995361615.1,1300468221,1272529888,1445933164,1562251132,2155208432,2070962511,1390690412,1075119853,918785107.1,1057806326
Indonesia,IDN,2839937799,3163740018,3633613325,3951108963,4119081644,4605139443,5150593775,5177356262,5148052051,5070875384,4546939546
IDA only,IDX,5748063743,6074797857,6468315658,7560355448,7446127479,9556365990,7969586404,8156135809,9268910098,8072418174,3858731005
Isle of Man,IMN,,,,,,,,,,,
India,IND,3828678498,4077745356,4963082154,6431771261,6221785953,4882832496,5622636935,6958929628,6781570847,7531590150,7010825359
Not classified,INX,,,,,,,,,,,
Ireland,IRL,2266001455,2194956464,954420592.6,909845132.1,934065655,703547561,694032242.9,1613257566,725122899.7,754350354.1,
"Iran, Islamic Rep.",IRN,,,,,,,,,,,
Iraq,IRQ,48400000,78000000,548000000,484000000,599300000,539300000,349600000,396200000,499700000,664300000,580700000
Iceland,ISL,67193851.39,72738450.76,65983578.87,72581958.21,95087187.21,84516225.7,139958188.9,321078422,346945672.6,366862397.2,276834078
Israel,ISR,3768500000,4251000000,4220000000,4837300000,4836600000,4732700000,5004100000,5873100000,5902400000,6242600000,5776200000
Italy,ITA,12882879136,14509942723,11821288114,11565682552,11135811956,9067700606,8781476854,8841573148,9906851588,9577332781,10187481225
Jamaica,JAM,279309926.9,305485140.4,333540513.2,297425707.5,275081798.3,287140244.5,298112484.9,313969243.5,309110662.7,324882512,306275537.9
Jordan,JOR,605211267.6,549859154.9,684788732.4,534929577.5,675211267.6,596760563.4,570000000,672816901.4,637183098.6,574788732.4,
Japan,JPN,4365714733,4536170392,4042571071,2872330560,4214761758,4000341421,5066869685,5282863264,6150517743,6827885453,8242572044
Kazakhstan,KAZ,3005774880,3409435907,3432439705,3386493735,3457352394,3181475768,2396148204,2690697275,2680081028,2660169694,2080834887
Kenya,KEN,19103834.67,25857075.83,14509050.04,16198281.53,170952600.3,35050613.25,17907932.45,20214268.45,10730012.94,2563928.552,
Kyrgyz Republic,KGZ,167720003.6,227621484.5,285908187.8,389512595.9,453942296,362554963,377876057.5,476119256,560492155.3,573920041.4,505591108.5
Cambodia,KHM,163000010,192436819.1,265124288.4,297255644.8,359610112.1,314340835.2,356857492,324477386,309802626.8,279024939.9,226459074.7
Kiribati,KIR,1030968.417,1200629.113,1216064.729,1284359.112,1250194.732,1027820.66,1035283.885,1071188.736,1079297.75,1029772.431,
St. Kitts and Nevis,KNA,5634597.037,6439676.667,6480530,6741897.037,16007746.39,20640021.68,24507970.45,27522306.79,28850349.37,,
"Korea, Rep.",KOR,9544200000,9979800000,9756100000,9402600000,9977600000,8719500000,10784300000,12888000000,13530600000,11231600000,9218700000
Kuwait,KWT,11864003973,13012206030,15459199374,17711480681,18128476350,15202536401,15287570250,13760108803,14346861711,15299400881,17354734581
Latin America & Caribbean (excluding high income),LAC,4409093718,4878137402,4958353087,5929369841,6776723796,6472793042,6580795877,8409997002,8706808300,8766419884,6604143763
Lao PDR,LAO,19314932.66,75643119.06,70175689.28,68704000.84,54165306.36,43338071.87,39476133.67,103058585.6,123785020.6,106033680.9,96284527.79
Lebanon,LBN,4390475745,4377027028,4698442227,4949422789,4288964955,3674947485,4170870500,4452964985,5007029017,4333066964,
Liberia,LBR,300506670.2,306604494.2,434537277.8,394922690.7,364440780.6,339788070.6,357014804.5,315532437.8,339065011.9,251179523.8,
Libya,LBY,1609000000,650000000,1971000000,3199300000,1119700000,839800000,755800000,680200000,744200000,,
St. Lucia,LCA,3331270.37,3359586.296,3289034.815,3328503.333,17431302.84,18735427.64,21837280.01,20981662.04,21747272.11,,
Latin America & Caribbean,LCN,5565220710,6532341041,6840257237,8176149261,8289709116,8045977161,8570409753,10585468978,11019445054,10902272129,8146754420
Least developed countries: UN classification,LDC,4443464683,4978058627,6718740973,7990967137,8080831297,6543644958,5966810025,5723794355,6462959138,5407577355,2898090213
Low income,LIC,3142024479,3094486441,2982031812,3555544981,3118399371,3268529781,2754317380,2707537868,3415089971,3117399910,1189456444
Liechtenstein,LIE,,,,,,,,,,,
Sri Lanka,LKA,526140000,580970000,680120989.5,854400005.9,887060001.1,896280000.2,895080001,944429998,962280000,1090540000,1042200001
Lower middle income,LMC,12593061812,14052710673,17878429095,21692427908,22565279146,21571190678,21359045989,22186511693,21946265985,21662678623,19033137644
Low & middle income,LMY,68373981158,75789288335,88191554482,1.01E+11,1.00E+11,85813777444,80569468509,97722689034,1.04E+11,1.06E+11,87300771881
Lesotho,LSO,0,0,0,0,0,0,,,,,
Late-demographic dividend,LTE,69817075415,89919829588,99134369234,1.10E+11,1.13E+11,98479520275,94791036128,1.13E+11,1.18E+11,1.21E+11,99653972243
Lithuania,LTU,552309227.6,1026308575,1134627104,851747820.4,904678078.8,589066458.3,583843381.2,548041411.1,616910983.7,602061051.7,365938903.9
Luxembourg,LUX,10658661179,11775377477,11454422099,12419217720,12917475761,11232764646,11679077114,12693980483,14089593492,14233446225,14325404240
Latvia,LVA,314819934.8,357550717.8,337561104.5,376424514.3,292327330.7,273065661.1,233810559.6,202640897.9,238603497.1,240536845.4,174638567.2
"Macao SAR, China",MAC,636508215.1,773583528.2,972686489.6,1282686426,1629715149,1958975052,2040346331,2057916497,2158543124,2320322055,2089752097
St. Martin (French part),MAF,,,,,,,,,,,
Morocco,MAR,62034092,70930587.4,64152932.18,63305944.12,100200862.6,78799239.1,106698413,111635972.5,138278345,136433736.5,151905882.6
Monaco,MCO,,,,,,,,,,,
Moldova,MDA,115730000,79620000,92990000,93870000,147050000,154110000,141340000,144060000,165160000,179140000,206020000
Madagascar,MDG,58909226.18,54214198.66,63112378.12,55195669.67,49749228.96,57976274.83,47656921.85,63489593.22,74265373.84,63243733.92,
Maldives,MDV,189384561.9,239910120.1,259861750.2,265584668.8,301426449.7,348365189.2,376235041.4,475257900,532373122.3,596115719.2,221427699
Middle East & North Africa,MEA,59617810021,73018049657,79516076865,91222270062,92728394349,91491294727,90043352721,88125760098,87109314089,80641216959,70332405426
Mexico,MEX,0,0,0,866997321,1001831236,810619117,653519183,806222560,999848929,981248256,898705958
Marshall Islands,MHL,7881811.211,9237557.156,23120296.33,23658445.15,23818965.82,18452182.37,19452182.37,22766242,23766242,,
Middle income,MIC,65231956679,72694801894,85209522670,97397222097,97289658309,82545247662,77815151129,95015151165,1.01E+11,1.02E+11,86111315437
North Macedonia,MKD,22611970,24692250,23859882,24438824,23991042,19890647,24250401,27449618,24903445,21972421,27313816
Mali,MLI,175881367.8,128945474.5,110782358.1,133904127.2,147305718.8,132857140,160270860.9,155032631.7,206961471.6,,
Malta,MLT,1611546409,1107824808,1050328347,1107797476,1112989947,403791052.2,450710172.1,477225666.6,516804000.5,500606491.6,510576351.7
Myanmar,MMR,,0,,419356298.1,565941089.8,382264665.7,297721233.6,96325534.85,151129018.6,178868963,
Middle East & North Africa (excluding high income),MNA,7959487933,6462847736,8719989655,10030085111,7830674319,6814681803,6772315844,6855721265,7677219470,6303884607,1351365714
Montenegro,MNE,32630767.42,43510270.65,52603848.25,64263246.52,72165183.95,53639764.55,59921997.92,70433308.39,110740637,123350542,98244951.68
Mongolia,MNG,169098104.3,312199055.2,531374750.3,441381964,336940233.6,227551598.3,170934427.1,183097762.1,216788387.3,233421699.2,145842925.5
Northern Mariana Islands,MNP,,,,,,,,,,,
Mozambique,MOZ,53681013.21,41487242.7,96201741.86,99836837.31,193870444.8,190566935.1,98477390.91,219143648.1,209479738.4,202255973.9,211095591
Mauritania,MRT,,,239832472,255109256.2,188556446.7,171581503,,53064260.45,26581211.45,10091814.78,38619252.23
Mauritius,MUS,8458860.236,9445395.356,8187835.342,8310946.438,700782846.6,599739064.4,599031731.6,581452823,747332851.2,822789626.7,691477554.7
Malawi,MWI,14907784.68,17450252.16,17793232.82,16452845.58,18552017.84,20001245.99,7593224.622,9601317.266,12400525.85,29157481.42,
Malaysia,MYS,8628262709,9421625636,8958203380,8981934822,10192344890,10482814889,10105146888,9393881494,10915511979,11397960820,9089686976
North America,NAC,56056077023,56627181322,58217531641,60924284086,63411360104,66020130713,68339579332,70815149041,74555319613,79961176677,76456041231
Namibia,NAM,81636368.36,111952120.7,103503168.6,83084221.9,131231613.5,71439738.98,49880620.52,68481234.35,57922970,95556581.9,104742907.9
New Caledonia,NCL,82719576.34,87380356.22,68282196.61,61223808.27,47883853.15,28730855.74,59857716.33,,,,
Niger,NER,72250231.52,111656559,90688150.38,91514546.31,147282876.8,101269765.5,109142182.2,169749529.4,184458102.9,178579848.6,
Nigeria,NGA,47474692.66,75506157.77,38702386.73,50482639.37,54615715.58,1035451150,744771120.4,275345845.1,67676279.79,90600080.53,92101664.91
Nicaragua,NIC,1200000,1300000,1500000,1300000,1300000,1600000,1600000,1600000,1600000,1600000,1600000
Netherlands,NLD,9395852984,10252485041,9572511983,9685792160,8282700725,10199272550,10484244241,11295433036,12933529695,14058971210,13560994132
Norway,NOR,4118496972,4427035714,5099595369,5799187011,5941154712,4578256593,4162485626,4025198596,4410935943,4636380731,3872037096
Nepal,NPL,32360885.52,39162790.86,50325791.47,27772183.88,9103367.604,9494425.813,20054323.58,33435192.63,49426302.09,60035162.85,44143198.96
Nauru,NRU,2109414.897,6092052.433,7119703.294,16834211.82,19082583.63,18192164.78,25288098.93,16371270.93,9997005.965,,
New Zealand,NZL,533917798.4,636205262.8,668885081.5,716983278.7,777100681.6,728535221.1,790898226.1,853492695.9,885936007.9,912092692.5,923057731.3
OECD members,OED,1.93E+11,2.11E+11,2.07E+11,2.19E+11,2.29E+11,2.19E+11,2.28E+11,2.46E+11,2.66E+11,2.72E+11,2.59E+11
Oman,OMN,5703511053,7214564369,8086605982,9104418726,10300832250,10990897269,10312093628,9815344603,9957667100,9133940182,
Other small states,OSS,5292502431,15870125825,15783407458,16508195186,17528927136,17447395923,17392296295,18742016670,18857020250,16269333995,14443609774
Pakistan,PAK,9000000,28000000,34000000,16000000,16000000,30000000,64000000,120000000,130000000,124000000,187000000
Panama,PAN,485800000,463600000,563600000,644200000,814500000,828900000,838790100,838408100,797038800,823651558,512225568.2
Peru,PER,,,,,,,,,,,
Philippines,PHL,109142109.1,134766836.3,152357507,210262023.3,182981951.7,153322154.9,196072883.6,246211590.1,258523555.9,225723157.6,211194462.4
Palau,PLW,8994424.38,9357489.06,9690571.02,9837794.52,9527278.231,16785283.38,17693027.68,20564641.7,,,
Papua New Guinea,PNG,394608641.3,551168479.1,511365792.1,514810697.6,406266347.2,280651307.6,198200061.9,268127167.6,91869313.65,,
Poland,POL,1326000000,1416000000,1538000000,1579000000,2183000000,2574000000,3732000000,5886000000,7116000000,7132000000,6550000000
Pre-demographic dividend,PRE,4417916909,4832954340,6918451223,7772802766,7978722012,7352430250,6663309615,6224195662,6821039122,5913789523,2946406011
Puerto Rico,PRI,,,,,,,,,,,
"Korea, Dem. People's Rep.",PRK,,,,,,,,,,,
Portugal,PRT,505716827.7,670899548.6,559679104.5,559099096.1,457221000.2,343838968.9,282916922.8,300879613.5,261728985,259425595.9,240344410.5
Paraguay,PRY,,,,,,,,,,,
West Bank and Gaza,PSE,18127451.45,47915108.24,48109830.51,52642110.86,36128914.12,30398350.33,30393003.58,27462197.69,22347334.95,15575571.38,
Pacific island small states,PSS,129968059,144790370.8,134529308.3,148903261.9,149484244.8,153104057.4,193524342.1,181764886.5,161748092.2,158380683.2,130186615.4
Post-demographic dividend,PST,1.89E+11,2.06E+11,2.03E+11,2.14E+11,2.23E+11,2.13E+11,2.20E+11,2.33E+11,2.52E+11,2.58E+11,2.47E+11
French Polynesia,PYF,70547819.24,55748462.95,58214549.52,46296359.3,16545064.46,9522350.051,22659424.6,,,,
Qatar,QAT,,10444681381,10412912088,11281043956,11230219780,12192032967,11981868132,12759340659,11557967033,11963736264,10743681319
Romania,ROU,88241416.55,127765726.4,116346227.6,484520900.2,592768806.8,514289660.2,302507609.9,389122476.3,435256485.9,485742404.3,545845260.6
Russian Federation,RUS,21453980000,26010470000,31647700000,37216680000,32640360000,19688840000,16244420000,20610140000,22308420000,22217240000,16872180000
Rwanda,RWA,63603696.94,93816180.76,92730312.83,82872617.41,99070241.99,101923739.5,102463730.8,94286747.81,87250541.17,72408226.75,
South Asia,SAS,5454460713,5523767735,6396540146,8117762337,8044180133,6483025388,7239640556,8775459507,8804725346,9767356854,8873825188
Saudi Arabia,SAU,27069005333,28474925333,29492573333,34984186667,36924240000,38787368000,37843205333,36118961653,33881511795,31197048533,34595847461
Sudan,SDN,788632.4433,1706234.901,8021746.359,64367674.34,35611551.23,89390261.94,112042591,124699657.9,208724836,138816458.2,
Senegal,SEN,216655705.6,209403263.2,220998137.7,280522384.1,300414902.3,272324110.9,388583223.2,409389540.7,591757306.3,,
Singapore,SGP,,,,,,,,,,,
Solomon Islands,SLB,61708124.12,66854110.31,46602802.65,44826768.55,45891322.79,55643035.76,69187218.73,54704347.2,62632139.73,83345358.45,65712683.87
Sierra Leone,SLE,10570719.2,20610760.59,20085152.97,8997559.779,6840003.968,6763601.76,5474298.479,4073973.564,7005877.646,8294458.363,
El Salvador,SLV,22092947,27192390.03,26897278.14,27678165.54,51051728.2,74340145.28,164990212.2,187453483.9,189760899.4,232329975.3,185782310
San Marino,SMR,,,,,,,,,,,
Somalia,SOM,,,,,,,,,,,
Serbia,SRB,154765331.1,204117025.9,217796081.4,255152500,267159310.1,244953320.1,238677762.8,273499587.5,297119802.7,331770721,390450670.4
Sub-Saharan Africa (excluding high income),SSA,5319004041,6264083473,8042473221,8616827417,9302779646,11061861541,9285639666,8484319580,8884254523,7631178296,4431090146
South Sudan,SSD,,,,,2401528.794,145950000,63790000,123080000,103490000,16020000,
Sub-Saharan Africa,SSF,5360224657,6314302844,8099431679,8677986807,9360441613,11136075125,9348585309,8552283081,8954142756,7704541293,4475948362
Small states,SST,5994329645,16881198564,16910911874,17568344945,18763713812,18790639741,18907415816,20332512483,20350929172,17467461914,15371933454
Sao Tome and Principe,STP,621861.3295,600930.4213,1313519.657,1073543.102,1441589.815,449656.2005,575612.7052,0,0,103605.3277,2373286.696
Suriname,SUR,1200000,2593598.589,12352687.24,18795263.4,22732215.07,32221024.19,40347661.61,79784983.73,82474416.73,71686379.5,77356721.08
Slovak Republic,SVK,69924079.87,69738479.93,154175472.3,175296635.4,225507660.9,239986534.1,242256062.1,271335496,364298637.8,351123899.5,296259997.3
Slovenia,SVN,212118372.7,219450580.6,198961281.8,211200410,227660174.2,200987733.1,214512911.8,251937300.9,296464324.1,319596021.6,280809352.8
